Code_Postale,Commune,Latitude,Longitude
75015,Paris,48.8589,2.347
75008,Paris,48.8589,2.347
94000,Creteil,48.7845,2.4523
75000,Paris,48.8589,2.347
93200,Saint-Denis,-20.9434,55.4444
75014,Paris,48.8589,2.347
75009,Paris,48.8589,2.347
92130,Issy-Les-Moulineaux,48.824,2.2628
92320,Chatillon,48.8031,2.2887
92290,Chatenay-Malabry,48.7697,2.2603
92400,Courbevoie,48.8976,2.2574
93210,Saint-Denis,-20.9434,55.4444
69002,Lyon,45.758,4.8351
75017,Paris,48.8589,2.347
14120,Mondeville,48.4924,2.4227
78280,Guyancourt,48.7735,2.0745
59370,Mons-En-Barå’Ul,48.7735,2.0745
92800,Puteaux,48.8824,2.2384
75000,Paris,48.8589,2.347
77300,Fontainebleau,48.4236,2.6817
