Nom de la Commune,Code Postale,Latitude,Longitude
Paris,"['75001', '75002', '75003', '75004', '75005', '75006', '75007', '75008', '75009', '75010', '75011', '75012', '75013', '75014', '75015', '75016', '75017', '75018', '75019', '75020', '75116']",48.8589,2.347
Paris,"['75001', '75002', '75003', '75004', '75005', '75006', '75007', '75008', '75009', '75010', '75011', '75012', '75013', '75014', '75015', '75016', '75017', '75018', '75019', '75020', '75116']",48.8589,2.347
Creteil,['94000'],48.7845,2.4523
Saint-Denis,"['11310', '30500', '93200', '93210', '93380', '97400', '97417', '97490']",-20.9434,55.4444
Paris,"['75001', '75002', '75003', '75004', '75005', '75006', '75007', '75008', '75009', '75010', '75011', '75012', '75013', '75014', '75015', '75016', '75017', '75018', '75019', '75020', '75116']",48.8589,2.347
Paris,"['75001', '75002', '75003', '75004', '75005', '75006', '75007', '75008', '75009', '75010', '75011', '75012', '75013', '75014', '75015', '75016', '75017', '75018', '75019', '75020', '75116']",48.8589,2.347
Issy-Les-Moulineaux,['92130'],48.824,2.2628
Chatillon,"['03210', '39130', '69380', '92320']",48.8031,2.2887
Chatenay-Malabry,['92290'],48.7697,2.2603
Courbevoie,['92400'],48.8976,2.2574
Saint-Denis,"['11310', '30500', '93200', '93210', '93380', '97400', '97417', '97490']",-20.9434,55.4444
Lyon,"['69001', '69002', '69003', '69004', '69005', '69006', '69007', '69008', '69009']",45.758,4.8351
Paris,"['75001', '75002', '75003', '75004', '75005', '75006', '75007', '75008', '75009', '75010', '75011', '75012', '75013', '75014', '75015', '75016', '75017', '75018', '75019', '75020', '75116']",48.8589,2.347
Mondeville,"['14120', '91590']",48.4924,2.4227
Guyancourt,['78280'],48.7735,2.0745
Mons-En-Barå’Ul,[],48.7735,2.0745
Puteaux,['92800'],48.8824,2.2384
Fontainebleau,['77300'],48.4236,2.6817
